Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1973","1973","kg","56.28","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1974","1974","kg","57.38","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1975","1975","kg","60.47","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1976","1976","kg","58.25","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1977","1977","kg","57.98","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1978","1978","kg","59.46","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1979","1979","kg","60.73","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1980","1980","kg","60.05","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1981","1981","kg","59.35","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1982","1982","kg","60.05","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1983","1983","kg","63.76","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1984","1984","kg","64.38","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1985","1985","kg","65.19","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1986","1986","kg","65.92","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1987","1987","kg","68.76","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1988","1988","kg","71.36","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1989","1989","kg","72.19","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1990","1990","kg","72.12","Fc","Calculated data"
"FBS","Food Balance Sheets","228","USSR","645","Food supply quantity (kg/capita/yr)","2943","Meat","1991","1991","kg","66.19","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1961","1961","kg","3.79","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1962","1962","kg","4.45","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1963","1963","kg","6.7","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1964","1964","kg","8.29","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1965","1965","kg","9.16","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1966","1966","kg","9.69","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1967","1967","kg","10.04","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1968","1968","kg","9.72","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1969","1969","kg","9.32","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1970","1970","kg","9.09","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1971","1971","kg","10.03","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1972","1972","kg","10.76","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1973","1973","kg","10.66","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1974","1974","kg","10.56","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1975","1975","kg","10.61","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1976","1976","kg","10.5","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1977","1977","kg","10.56","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1978","1978","kg","11.27","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1979","1979","kg","13.35","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1980","1980","kg","14.58","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1981","1981","kg","15.02","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1982","1982","kg","15.75","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1983","1983","kg","16.14","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1984","1984","kg","17.27","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1985","1985","kg","19.12","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1986","1986","kg","19.82","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1987","1987","kg","21.14","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1988","1988","kg","22.86","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1989","1989","kg","23.63","Fc","Calculated data"
"FBS","Food Balance Sheets","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","1990","1990","kg","24.84","Fc","Calculated data"
